"Sample.ID","Mass","TA.Mes"
"20170409_CRM","57.317","2223.96093757059"
"20170409_Tank11","60.941","2341.9457190642"
"20170409_Tank12","55.064","2339.16826436349"
"20170409_Tank6","60.482","2337.24690648224"
"20170409_Tank7","56.313","2336.33446714372"
