Date,Calib.Date,Time,Tank,Treatment,Temperature,pH.MV,Salinity
20170409,20170409,11:00,Tank6,High,28.25,-30.1,35.8
20170409,20170409,11:00,Tank7,Ambient,27.34,-58.2,35.8
20170409,20170409,11:00,Tank11,High,27.7,-31.8,35.8
20170409,20170409,11:00,Tank12,Ambient,27.7,-58.3,35.8
