Tank,Mass,Salinity,Acid.Conc,Dens.Funct,HCL.Bottle,pH35,pH3,Sample.Type
20140505_CRM,100.22,33.328,0.100171,d1,Bottle 156,202.84,231.91,CRM
20170409_CRM,57.317,35.8,0.10194,d1,Bottle Titrant-A1-06,190,232,CRM
20170409_Tank6,60.482,35.8,0.10194,d1,Bottle Titrant-A1-06,190,232,Tank
20170409_Tank7,56.313,35.8,0.10194,d1,Bottle Titrant-A1-06,190,232,Tank
20170409_Tank11,60.941,35.8,0.10194,d1,Bottle Titrant-A1-06,190,232,Tank
20170409_Tank12,55.064,35.8,0.10194,d1,Bottle Titrant-A1-06,190,232,Tank
